股票简称,股票代码,占流通A股比例,救市买入（万股）,最新市值（亿元）,成本（亿元）,浮盈（亿元）
中国平安,601318,9.52,103038.41,345.08,633.97,-288.9
中国银行,601988,94.33,1034521.09,401.39,524.93,-123.53
工商银行,601398,48.46,694671.12,317.46,369.74,-52.28
中信证券,600030,5.71,56100.68,89.03,135.95,-46.92
中国石油,601857,0.75,121647.36,106.44,152.89,-46.45
中国中车,601766,4.89,112043.96,155.29,194.8,-39.51
中国石化,600028,2.17,207124.25,104.18,142.47,-38.29
建设银行,601939,33.41,300879.99,164.88,202.46,-37.58
交通银行,601328,5.66,222045.7,141,177.33,-36.33
中国人寿,601628,3.18,66237.96,175.46,210.36,-34.9
农业银行,601288,46.08,548239.7,172.15,206.91,-34.77
中国神华,601088,4.09,67356.98,101.64,131.35,-29.71
中信银行,601998,3.74,119159.82,76.26,105.83,-29.56
中恒集团,600252,4.72,15478.6,9.69,38.66,-28.97
潍柴动力,000338,8.3,17380.69,15.63,42.72,-27.09
光大银行,601818,30.84,202540.07,83.24,106.25,-23.01
西南证券,600369,4.97,23118.85,19.65,42.51,-22.86
格力电器,000651,4.42,26435.65,45.87,66.88,-21.02
上汽集团,600104,3.9,43042.12,76.49,96.85,-20.36
青岛海尔,600690,4.58,25262.6,25.06,45.27,-20.2
中国建筑,601668,4.42,132273.4,82.41,102.3,-20.16
安信信托,600816,6.15,6983.4,12.49,32.48,-19.99
申万宏源,000166,13.68,44522.63,43.28,62.89,-19.62
中国重工,601989,4.57,82028.95,90.72,107.35,-16.62
海通证券,600837,4.25,34390.31,51.04,67.55,-16.52
京东方A,000725,5.56,129938.42,38.72,53.39,-14.67
长城汽车,601633,2.9,5828.26,6.81,21.21,-14.4
北京银行,601169,4.72,59799.08,52.44,66.84,-14.4
中国太保,601601,6.07,38169.61,94.13,108.05,-13.93
广发证券,000776,5.51,32602.24,51.06,64.8,-13.75
民生银行,600016,3.69,109091.36,93.82,107.53,-13.71
大秦铁路,601006,4.36,64867.28,59.22,72.92,-13.69
平安银行,000001,5.15,60801.03,69.07,82.63,-13.56
中国中铁,601390,5.24,89522.38,110.2,123.16,-12.96
阳光城,000671,3.95,10339.55,7.02,19.44,-12.42
南方航空,600029,5.1,35805.74,30.29,42.68,-12.39
华夏银行,600015,5.89,45859.78,48.43,60.74,-12.31
华泰证券,601688,5.73,31239.26,55.23,67.32,-12.09
包钢股份,600010,8.54,134530.04,53,65.09,-12.08
招商证券,600999,5.23,25091.83,47.93,59.57,-11.65
美的集团,000333,8.04,17986.26,50.38,61.89,-11.51
贵州茅台,600519,3.85,4835.04,103.4,114.68,-11.28
方正证券,601901,6.12,38487.29,28.37,39.55,-11.18
兴业银行,601166,5.34,86473.73,132.05,143.07,-11.03
宝钢股份,600019,3.74,61466.34,34.85,45.87,-11.02
中国铁建,601186,5.34,54755.09,83.72,94.43,-10.71
上海电气,601727,4.62,45522.82,51.12,61.57,-10.45
东方航空,600115,5.79,45066.76,36.91,47.21,-10.3
中煤能源,601898,4.78,43759.64,27.57,37.82,-10.25
国电电力,600795,4.5,80151.97,32.94,42.89,-9.94
徐工机械,000425,1.75,12335.96,5.5,15.35,-9.85
鼎立股份,600614,5.12,4581.35,4.35,14.12,-9.77
中国国航,601111,3.43,28531.68,25.51,34.85,-9.34
新华保险,601336,52.7,12152.54,51.65,60.86,-9.21
东方证券,600958,19.39,19389.83,40.23,49.43,-9.19
中国铝业,601600,6.08,58292.04,29.96,39.04,-9.08
京运通,601908,11.97,6840.03,5.44,14.05,-8.61
中国电建,601669,15.86,52348.36,44.76,53.19,-8.43
华能国际,600011,4.07,42692.69,39.06,47.39,-8.33
中国交建,601800,4.72,55510.83,80.05,88.34,-8.3
信威集团,600485,3.27,5338.09,11.91,19.67,-7.76
用友网络,600588,4.34,6062.09,18.17,25.77,-7.06
保利地产,600048,4.66,50123.86,43.71,51.12,-7.41
TCL集团,000100,6.36,57197.33,22.82,30.2,-7.37
中信重工,601608,2.48,10196.79,7.81,15.01,-7.2
武钢股份,600005,4.26,43036.69,16.22,23.37,-7.14
上海莱士,002252,0.91,1751.92,7.15,14.1,-6.94
中航飞机,000768,4.41,10930.34,31.89,38.82,-6.93
双良节能,600481,3.85,6246.32,5.73,12.64,-6.91
中海油服,601808,5.83,17255.55,29.2,35.94,-6.75
海南航空,600221,4.29,50711.13,20.28,27.02,-6.73
大唐发电,601991,4.65,46425.8,25.26,31.66,-6.4
中集集团,000039,9.41,11840.85,22.25,28.45,-6.2
海螺水泥,600585,5.72,22870.15,40.62,46.77,-6.16
东方金钰,600086,4.83,1703.33,2.16,8.32,-6.15
海油工程,600583,5.49,22191.63,22.04,27.99,-5.95
光大证券,601788,4.52,15438.25,29.46,35.4,-5.95
长安汽车,000625,5.76,19481.59,29.98,35.84,-5.86
紫金矿业,601899,5.29,83672.42,30.54,36.28,-5.74
吉视传媒,601929,4.15,6459.54,3.92,9.58,-5.65
亨通光电,600487,1.93,2223.63,2.62,8.25,-5.62
陕西煤业,601225,11.69,31697.93,15.15,20.76,-5.61
中兴通讯,000063,5.23,17586.05,31.39,36.74,-5.35
浙能电力,600023,20.28,51800.11,40.09,45.42,-5.32
兆日科技,300333,2.96,978.36,2.53,7.59,-5.06
上港集团,600018,3.73,84886.63,60.61,65.63,-5.02
国金证券,600109,4.84,13715.88,20.45,25.45,-5
浙江龙盛,600352,4.8,14694.49,15.3,20.26,-4.96
华侨城A,000069,9.44,29353.04,23.98,28.91,-4.93
中联重科,000157,5.53,34625.84,18.11,22.97,-4.86
三安光电,600703,4.27,10107.44,23.59,28.33,-4.74
金宇集团,600201,4.24,1197.68,3.78,8.45,-4.67
华电国际,600027,6.02,35747.1,25.13,29.8,-4.66
太平洋,601099,5.17,17085.97,13.21,17.78,-4.57
广汇能源,600256,4.37,22814.58,15.61,20.11,-4.5
长江证券,000783,4.75,22534.3,23.62,27.86,-4.24
国海证券,000750,5.49,12686.95,13.78,18.01,-4.23
中国联通,600050,4.35,92226.89,60.96,65.14,-4.17
首开股份,600376,3.68,8241.79,9.77,13.91,-4.15
小商品城,600415,4.21,22912.43,23.78,27.92,-4.14
鞍钢股份,000898,4.7,28889.88,13.69,17.82,-4.12
中国国旅,601888,3.74,3649.32,18.84,22.96,-4.12
伊利股份,600887,3.09,18579.7,29.6,33.66,-4.06
兴业证券,601377,2.99,15548.26,14.09,18.14,-4.06
春秋航空,601021,7.79,799.07,4.81,8.82,-4.01
特变电工,600089,5.03,15966.35,18.92,22.86,-3.94
航天信息,600271,4.56,2306.98,23.52,27.46,-3.94
中国西电,601179,4.76,20709.73,13.94,17.85,-3.92
招商银行,600036,3.52,72587.87,130.15,133.87,-3.72
康美药业,600518,4.77,20986.59,34.94,38.64,-3.7
三一重工,600031,4.09,31084.37,20.86,24.53,-3.68
西部证券,002673,2.11,4855.4,10.38,14.04,-3.66
美邦服饰,002269,4.85,12194.4,8.1,11.64,-3.54
恒生电子,600570,4.75,2934.97,18.99,22.48,-3.49
